"","animal","ID","lac12","lac_wk.","yearwk","yearmo","DIM","ch4clean","dfpcm","Sire","Dam"
"129","PL005227672443","PL005227672443",1,19,"2016--30","2016--07",138,326.406851563265,27.094144,"FR4460978633","PL005291248247"
"130","PL005227672443","PL005227672443",1,17,"2016--28","2016--07",123,309.897712566812,27.075186,"FR4460978633","PL005291248247"
"131","PL005227672443","PL005227672443",1,23,"2016--33","2016--08",163,255.750367497096,27.146288,"FR4460978633","PL005291248247"
"132","PL005227672443","PL005227672443",1,23,"2016--34","2016--08",166,270.140983375064,25.14213,"FR4460978633","PL005291248247"
"133","PL005227672443","PL005227672443",1,15,"2016--25","2016--06",105,297.072763043747,20.66652,"FR4460978633","PL005291248247"
"134","PL005227672443","PL005227672443",1,17,"2016--27","2016--07",119,332.900383152398,26.902663,"FR4460978633","PL005291248247"
"135","PL005227672443","PL005227672443",1,20,"2016--30","2016--07",143,311.280291022196,27.782986,"FR4460978633","PL005291248247"
"136","PL005227672443","PL005227672443",1,18,"2016--29","2016--07",130,345.062711740807,26.503578,"FR4460978633","PL005291248247"
"137","PL005227672443","PL005227672443",1,20,"2016--31","2016--08",146,311.229234390493,28.88292,"FR4460978633","PL005291248247"
"138","PL005227672443","PL005227672443",1,23,"2016--33","2016--08",162,266.667427525711,26.91423,"FR4460978633","PL005291248247"
"139","PL005227672443","PL005227672443",1,12,"2016--22","2016--06",87,349.853485340089,29.488196,"FR4460978633","PL005291248247"
"140","PL005227672443","PL005227672443",1,21,"2016--31","2016--08",147,431.76098182815,26.951256,"FR4460978633","PL005291248247"
"141","PL005227672443","PL005227672443",1,15,"2016--25","2016--06",108,241.075427578102,23.37005,"FR4460978633","PL005291248247"
"142","PL005227672443","PL005227672443",1,15,"2016--26","2016--06",109,275.289206598839,24.343592,"FR4460978633","PL005291248247"
"143","PL005227672443","PL005227672443",1,22,"2016--33","2016--08",158,357.311635878007,27.927178,"FR4460978633","PL005291248247"
"144","PL005227672443","PL005227672443",1,19,"2016--29","2016--07",135,380.267094953359,26.68157,"FR4460978633","PL005291248247"
"145","PL005227672443","PL005227672443",1,20,"2016--30","2016--07",142,384.523641396683,27.584588,"FR4460978633","PL005291248247"
"146","PL005227672443","PL005227672443",1,12,"2016--22","2016--06",84,259.660271447958,27.531644,"FR4460978633","PL005291248247"
"147","PL005227672443","PL005227672443",1,19,"2016--29","2016--07",136,264.491683439947,26.814942,"FR4460978633","PL005291248247"
"148","PL005227672443","PL005227672443",1,23,"2016--33","2016--08",161,285.592800108897,27.844929,"FR4460978633","PL005291248247"
"149","PL005227672443","PL005227672443",1,18,"2016--28","2016--07",127,303.721666279107,26.763445,"FR4460978633","PL005291248247"
"150","PL005227672443","PL005227672443",1,18,"2016--29","2016--07",131,361.691831833071,27.330058,"FR4460978633","PL005291248247"
"151","PL005227672443","PL005227672443",1,19,"2016--29","2016--07",134,350.106693805451,26.9724,"FR4460978633","PL005291248247"
"152","PL005227672443","PL005227672443",1,21,"2016--31","2016--08",150,331.597918605387,26.741568,"FR4460978633","PL005291248247"
"153","PL005227672443","PL005227672443",1,16,"2016--27","2016--07",117,281.702890200544,25.928316,"FR4460978633","PL005291248247"
"154","PL005227672443","PL005227672443",1,16,"2016--26","2016--07",113,331.630797254002,23.235744,"FR4460978633","PL005291248247"
"155","PL005227672443","PL005227672443",1,19,"2016--30","2016--07",139,350.921916194336,28.384,"FR4460978633","PL005291248247"
