"","animal","ID","lac12","lac_wk.","yearwk","yearmo","DIM","ch4clean","dfpcm"
"323","PL005349224728","PL005349224728",1,4,"2016--08","2016--02",34,343.295121527176,23.7226
"325","PL005251904404","PL005251904404",1,4,"2016--09","2016--03",34,455.136551112501,35.235805
"326","PL005349224551","PL005349224551",1,4,"2016--09","2016--03",34,378.366747648591,39.536475
"328","PL005368235019","PL005368235019",1,4,"2016--10","2016--03",34,273.490014878768,20.02761
"332","PL005251904671","PL005251904671",1,5,"2016--05","2016--02",35,461.725343148544,34.701312
"333","PL005368235101","PL005368235101",1,5,"2016--06","2016--02",35,354.438310215101,20.64981
"336","PL005349224728","PL005349224728",1,5,"2016--08","2016--02",35,253.118351249747,24.25478
"339","PL005349224551","PL005349224551",1,5,"2016--09","2016--03",35,431.076113396747,38.793879
"342","PL005368235019","PL005368235019",1,5,"2016--10","2016--03",35,280.287374172905,20.714635
"346","PL005251904633","PL005251904633",1,5,"2016--06","2016--02",36,626.850182283927,39.72278
"351","PL005251904404","PL005251904404",1,5,"2016--09","2016--03",36,584.565658503189,36.743947
"352","PL005349224551","PL005349224551",1,5,"2016--09","2016--03",36,272.336211238194,37.981268
"357","PL005251904671","PL005251904671",1,5,"2016--05","2016--02",37,452.188549718497,33.46915
"358","PL005251904633","PL005251904633",1,5,"2016--06","2016--02",37,514.097742333059,37.635404
"361","PL005368235101","PL005368235101",1,5,"2016--07","2016--02",37,360.244127034498,19.774676
"365","PL005251904404","PL005251904404",1,5,"2016--09","2016--03",37,478.402226448309,37.882702
"366","PL005349224551","PL005349224551",1,5,"2016--09","2016--03",37,434.913513210815,39.95505
"369","PL005368235019","PL005368235019",1,5,"2016--10","2016--03",37,430.1794616362,19.167409
"373","PL005251904671","PL005251904671",1,5,"2016--06","2016--02",38,438.078782122349,33.585032
"378","PL005368235101","PL005368235101",1,5,"2016--07","2016--02",38,337.436040665069,21.686106
"379","PL005349224728","PL005349224728",1,5,"2016--08","2016--02",38,228.316892216563,16.812576
"383","PL005349224551","PL005349224551",1,5,"2016--10","2016--03",38,317.469175482701,38.929198
"384","PL005368235019","PL005368235019",1,5,"2016--10","2016--03",38,247.297929918977,14.430528
"386","PL005349224490","PL005349224490",1,5,"2016--05","2016--02",39,486.418543443035,40.17204
"387","PL005251904633","PL005251904633",1,5,"2016--06","2016--02",39,489.455081308377,39.13626
"388","PL005251904671","PL005251904671",1,5,"2016--06","2016--02",39,588.412414279361,36.051669
"393","PL005251904404","PL005251904404",1,5,"2016--09","2016--03",39,459.102475024523,37.417251
"396","PL005349224551","PL005349224551",1,5,"2016--10","2016--03",39,376.48033880588,39.622396
"397","PL005368235019","PL005368235019",1,5,"2016--10","2016--03",39,391.260513549752,18.995928
"404","PL005251904633","PL005251904633",1,5,"2016--07","2016--02",40,478.804117637288,36.774045
"405","PL005368235101","PL005368235101",1,5,"2016--07","2016--02",40,360.220625382756,22.096758
"409","PL005251904404","PL005251904404",1,5,"2016--10","2016--03",40,521.138210044707,36.989282
"410","PL005349224551","PL005349224551",1,5,"2016--10","2016--03",40,397.218229039522,41.325945
"412","PL005349224490","PL005349224490",1,5,"2016--05","2016--02",41,513.390525135277,34.367625
"413","PL005368235040","PL005368235040",1,5,"2016--05","2016--02",41,433.289187137668,34.12035
"415","PL005251904671","PL005251904671",1,5,"2016--06","2016--02",41,489.392100096033,37.097625
"419","PL005368235101","PL005368235101",1,5,"2016--07","2016--02",41,399.459976429825,21.4038
"425","PL005349224551","PL005349224551",1,5,"2016--10","2016--03",41,419.563520904057,39.714025
"428","PL005251904671","PL005251904671",1,6,"2016--06","2016--02",42,453.938724434247,35.063346
"429","PL005349224490","PL005349224490",1,6,"2016--06","2016--02",42,507.51857988287,39.55095
"432","PL005251904633","PL005251904633",1,6,"2016--07","2016--02",42,526.459354600438,38.569842
"437","PL005251904404","PL005251904404",1,6,"2016--10","2016--03",42,522.624322165116,39.960863
"438","PL005349224551","PL005349224551",1,6,"2016--10","2016--03",42,356.763369831926,41.94114
"442","PL005368235040","PL005368235040",1,6,"2016--05","2016--02",43,465.365189442636,35.479872
"445","PL005349224490","PL005349224490",1,6,"2016--06","2016--02",43,495.956035580289,41.224892
"451","PL005368235101","PL005368235101",1,6,"2016--08","2016--02",43,342.006439978567,16.211136
"455","PL005251904404","PL005251904404",1,6,"2016--10","2016--03",43,482.308858420768,39.631022
"458","PL005349224667","PL005349224667",1,6,"2016--05","2016--02",44,394.934931215581,29.517012
"460","PL005251904671","PL005251904671",1,6,"2016--06","2016--02",44,455.982559980449,34.034829
"461","PL005368235040","PL005368235040",1,6,"2016--06","2016--02",44,429.004277891069,37.720972
"465","PL005251904633","PL005251904633",1,6,"2016--07","2016--02",44,464.661839122343,34.605396
"470","PL005349224728","PL005349224728",1,6,"2016--09","2016--03",44,289.359919550579,15.83612
"471","PL005251904404","PL005251904404",1,6,"2016--10","2016--03",44,497.455188059109,40.69044
"472","PL005349224551","PL005349224551",1,6,"2016--10","2016--03",44,336.200643178533,40.13919
"477","PL005349224490","PL005349224490",1,6,"2016--06","2016--02",45,468.913562922376,41.57572
"478","PL005368235040","PL005368235040",1,6,"2016--06","2016--02",45,476.728957258386,34.49635
"481","PL005251904633","PL005251904633",1,6,"2016--07","2016--02",45,556.929975650748,37.49382
"482","PL005251904671","PL005251904671",1,6,"2016--07","2016--02",45,531.991953784752,36.03282
"486","PL005368235101","PL005368235101",1,6,"2016--08","2016--02",45,351.745156089213,22.43007
"491","PL005349224551","PL005349224551",1,6,"2016--11","2016--03",45,410.99340399501,40.573824
"493","PL005349224667","PL005349224667",1,6,"2016--05","2016--02",46,439.346346311137,31.56097
"495","PL005349224490","PL005349224490",1,6,"2016--06","2016--02",46,533.813660332366,39.650568
"496","PL005368235040","PL005368235040",1,6,"2016--06","2016--02",46,547.023830881866,34.928433
"498","PL005251904671","PL005251904671",1,6,"2016--07","2016--02",46,541.474977999709,34.95742
"503","PL005368235101","PL005368235101",1,6,"2016--08","2016--02",46,403.797413872962,22.87651
"505","PL005251904404","PL005251904404",1,6,"2016--10","2016--03",46,480.712503680601,40.891278
"506","PL005349224728","PL005349224728",1,6,"2016--10","2016--03",46,255.241421019869,16.005465
"510","PL005349224667","PL005349224667",1,6,"2016--06","2016--02",47,452.162828503613,30.89589
"511","PL005368235040","PL005368235040",1,6,"2016--06","2016--02",47,457.846455291503,35.426608
"516","PL005251904671","PL005251904671",1,6,"2016--07","2016--02",47,446.658404495095,35.643276
"521","PL005251904633","PL005251904633",1,6,"2016--08","2016--02",47,545.606544385487,40.1436
"525","PL005251904404","PL005251904404",1,6,"2016--11","2016--03",47,518.132641662606,43.142085
"526","PL005349224490","PL005349224490",1,6,"2016--06","2016--02",48,613.20061088536,39.86976
"527","PL005349224667","PL005349224667",1,6,"2016--06","2016--02",48,453.55448061099,31.622034
"528","PL005368235040","PL005368235040",1,6,"2016--06","2016--02",48,454.201667954556,35.491136
"535","PL005251904633","PL005251904633",1,6,"2016--08","2016--02",48,574.248637275718,40.734304
"536","PL005368235101","PL005368235101",1,6,"2016--08","2016--02",48,321.225598381404,15.907595
"541","PL005368235040","PL005368235040",1,7,"2016--06","2016--02",49,409.422085473741,24.664213
"545","PL005251904671","PL005251904671",1,7,"2016--07","2016--02",49,427.161424865877,35.98696
"546","PL005349224490","PL005349224490",1,7,"2016--07","2016--02",49,498.985787200846,43.12752
"549","PL005251904633","PL005251904633",1,7,"2016--08","2016--02",49,556.720793005358,41.778534
"550","PL005368235101","PL005368235101",1,7,"2016--08","2016--02",49,377.078496494438,21.654017
"555","PL005349224667","PL005349224667",1,7,"2016--06","2016--02",50,366.002924086142,27.445776
"556","PL005368235040","PL005368235040",1,7,"2016--06","2016--02",50,471.106308634087,32.49315
"561","PL005251904671","PL005251904671",1,7,"2016--07","2016--02",50,448.602746415793,35.53628
"562","PL005349224490","PL005349224490",1,7,"2016--07","2016--02",50,512.061822068904,40.282572
"566","PL005251904633","PL005251904633",1,7,"2016--08","2016--02",50,515.231795115007,39.87186
"571","PL005349224667","PL005349224667",1,7,"2016--06","2016--02",51,422.182924241082,29.50854
"574","PL005349224490","PL005349224490",1,7,"2016--07","2016--02",51,529.619712745602,37.5207
"575","PL005368235040","PL005368235040",1,7,"2016--07","2016--02",51,450.993362884282,31.09722
"581","PL005368235101","PL005368235101",1,7,"2016--09","2016--03",51,376.155037629737,20.405711
"585","PL005368235040","PL005368235040",1,7,"2016--07","2016--02",52,482.063164805736,35.54089
"588","PL005251904633","PL005251904633",1,7,"2016--08","2016--02",52,560.319167174291,41.179033
"589","PL005251904671","PL005251904671",1,7,"2016--08","2016--02",52,466.825672195367,35.682984
"596","PL005349224667","PL005349224667",1,7,"2016--06","2016--02",53,426.903197397361,29.01935
"598","PL005349224490","PL005349224490",1,7,"2016--07","2016--02",53,523.240972034019,39.94354
"599","PL005368235040","PL005368235040",1,7,"2016--07","2016--02",53,543.586243600079,33.609212
"603","PL005251904633","PL005251904633",1,7,"2016--08","2016--02",53,553.127619994224,42.15672
"604","PL005251904671","PL005251904671",1,7,"2016--08","2016--02",53,478.789220311359,35.417424
"608","PL005368235101","PL005368235101",1,7,"2016--09","2016--03",53,444.636038360428,23.598602
"612","PL005349224490","PL005349224490",1,7,"2016--07","2016--02",54,464.774608309308,39.817341
"613","PL005368235040","PL005368235040",1,7,"2016--07","2016--02",54,485.410349100759,33.783924
"618","PL005251904671","PL005251904671",1,7,"2016--08","2016--02",54,482.07984349838,32.394165
"623","PL005251904633","PL005251904633",1,7,"2016--09","2016--02",54,473.128540068799,42.015856
"624","PL005368235101","PL005368235101",1,7,"2016--09","2016--03",54,382.777992666034,22.802556
"627","PL005349224667","PL005349224667",1,7,"2016--07","2016--02",55,453.023628493366,30.77734
"628","PL005368235040","PL005368235040",1,7,"2016--07","2016--02",55,483.245060576206,37.834196
"632","PL005251904671","PL005251904671",1,7,"2016--08","2016--02",55,381.261159657173,34.520223
"637","PL005251904633","PL005251904633",1,7,"2016--09","2016--03",55,525.598050064092,40.724325
"640","PL005349224667","PL005349224667",1,8,"2016--07","2016--02",56,398.798405822458,30.00368
"641","PL005368235040","PL005368235040",1,8,"2016--07","2016--02",56,502.104696589397,37.601855
"644","PL005349224490","PL005349224490",1,8,"2016--08","2016--02",56,502.550663228702,39.26516
"648","PL005251904633","PL005251904633",1,8,"2016--09","2016--03",56,543.904602691269,40.679534
"649","PL005368235101","PL005368235101",1,8,"2016--09","2016--03",56,429.220545493534,23.173182
"653","PL005368235040","PL005368235040",1,8,"2016--07","2016--02",57,547.070285202638,35.959761
"658","PL005251904671","PL005251904671",1,8,"2016--08","2016--02",57,384.87472033288,33.60192
"660","PL005251904633","PL005251904633",1,8,"2016--09","2016--03",57,523.525894375073,40.635714
"663","PL005368235101","PL005368235101",1,8,"2016--10","2016--03",57,356.62245996277,24.921
"665","PL005349224667","PL005349224667",1,8,"2016--07","2016--02",58,543.152589366767,30.211839
"669","PL005251904671","PL005251904671",1,8,"2016--08","2016--02",58,437.59106396957,34.194032
"670","PL005349224490","PL005349224490",1,8,"2016--08","2016--02",58,436.599544789525,39.280548
"671","PL005368235040","PL005368235040",1,8,"2016--08","2016--02",58,448.937185688854,34.840768
"676","PL005251904633","PL005251904633",1,8,"2016--09","2016--03",58,538.72482963221,41.959574
"679","PL005349224353","PL005349224353",1,8,"2016--05","2016--02",59,629.525679310206,42.963814
"681","PL005349224667","PL005349224667",1,8,"2016--07","2016--02",59,447.934446285148,33.005702
