nummer,naam stier,gebjr,run nummer,basis,kicode,owner,base,rel NVI,NVI,source production,rel Inet,dochters productie,milk,fat,protein,lactose,rel milk,rel fat,rel prot,rel lact,source dmi,daughters dmi,rel dmi direct,rel dmi incl voorspellers,rel bvo,rel bvk,dmi direct,dmi incl voorspellers,FSM,FSCM,bvo obv selectieindex,rel bvo new,diff bvo
HOLNLDM000612994942,HET MEER BALI,2014,241,1,39789,KI39,2024HC,90,53,E,96,196,-18,72,21,-6,97,97,96,97,E,0,53,77,61,61,153,152,15,15,-19,61,34
HOLCANM000013494527,AIJA WOLFGANG,2019,241,1,783036,KI34,2024HC,70,130,G,76,0,1448,41,28,72,83,82,76,76,G,0,47,72,50,50,86,142,35,34,15,50,20
HOLNLDM000432571611,MORGENSTER 113 LINO,2005,241,1,977697,CO60,2024HC,91,-94,E,97,196,-465,-27,-26,-34,98,97,97,97,E,0,49,76,60,60,-215,-228,115,112,104,60,11
HOLNLDM000523695134,DELTA BRISBANE,2008,241,1,940059,CO60,2024HC,78,-175,G,83,0,-663,-39,-29,-45,88,87,83,81,G,0,53,75,55,55,-60,-159,8,8,18,55,-10
HOLUSAM003215743635,PEAK CURVEBALL,2020,241,1,942536,CO60,2024HC,69,183,G,75,0,994,64,37,46,82,81,75,75,G,0,47,72,50,50,111,174,38,37,9,50,29
HOLDEUM000542338784,BEY COMET,2022,241,1,785357,IM90,2024HC,67,282,G,73,0,1213,64,44,60,81,79,73,74,G,0,47,72,50,50,149,218,14,14,-5,50,19
HOLNLDM000432552407,DE MARKE SENSATION,2005,241,1,977720,CO60,2024HC,90,-164,E,96,129,-1267,-41,-30,-50,97,96,96,97,E,1,43,74,57,57,-240,-265,105,102,99,57,6
HOLNLDM000753744130,AKILIA KIWI,2015,241,1,780052,VL21,2024HC,78,96,J,85,0,759,38,8,31,89,88,85,88,J,0,49,74,55,55,18,114,0,0,-10,55,10
HOLNLDM000623631036,DOUBLE W 3103 RIMINI,2019,241,1,782797,IM58,2024HC,82,70,E,88,133,341,16,28,9,92,91,88,91,E,0,54,76,58,58,121,107,-36,-35,-39,58,3
HOLNLDM000443684324,DELTA NEARBY,2006,241,1,977937,CO60,2024HC,97,-110,E,99,3368,-526,-19,-24,-15,99,99,99,99,E,4,57,78,63,63,-164,-214,136,132,125,63,11
HOLNLDM000482184010,DE BIESHEUVEL SIDNEY,2007,241,1,978637,CO60,2024HC,91,-107,E,96,157,753,-5,17,29,97,97,96,97,E,0,52,76,60,60,25,-16,49,48,34,60,15
HOLUSAM003215092565,BRANDT-VIEW DO IT NOW,2021,241,1,785134,IM90,2024HC,73,167,G,79,0,787,58,13,37,84,83,79,77,G,0,47,73,52,52,68,130,37,36,10,52,27
HOLNLDM000483802531,VINK GARRIMAN,2007,241,1,39466,KI39,2024HC,87,-221,E,94,94,-878,-34,-28,-37,95,95,94,95,E,0,51,76,59,59,-187,-227,95,92,89,59,6
HOLNLDM000763710110,DELTA CHESTNUT,2013,241,1,941329,CO60,2024HC,91,25,E,97,170,1638,23,21,80,97,97,97,97,E,0,53,77,61,61,84,99,40,39,27,61,13
HOLNLDM000883608290,PAULTJE'S DANILLO,2012,241,1,82865,,2024HC,83,-102,E,89,28,-1197,18,-11,-58,92,91,89,91,E,0,53,76,58,58,-88,-34,10,10,0,58,10
HOLNLDM000473734224,DELTA PAPILLON,2006,241,1,978084,CO60,2024HC,78,-147,G,83,0,295,-32,-14,8,88,87,83,81,G,0,51,74,54,54,-128,-168,93,90,79,54,14
HOLNLDM000543773412,EASTLAND FIRTH,2010,241,1,940455,CO60,2024HC,91,-117,E,97,187,652,-40,28,42,97,97,97,97,E,1,46,75,59,59,111,46,-64,-62,-47,59,-17
HOLNLDM000932421854,WEGGELHORSTER DISCLOSURE,2012,241,1,767534,IM58,2024HC,97,55,D,99,5304,-211,-8,-23,-16,99,99,99,99,D,7,57,78,63,63,-83,-83,28,27,37,63,-9
HOLNLDM000642555058,DELTA TRANSFORM,2020,241,1,942514,CO60,2024HC,75,160,G,80,0,1073,31,54,52,86,85,80,79,G,0,50,74,53,53,143,284,-117,-113,-94,53,-23
HOLNLDM000433735807,SCHOONHOVEN MAGNUM,2006,241,1,977733,CO60,2024HC,90,-161,E,96,143,-28,-20,-5,-19,97,97,96,97,E,0,53,77,61,61,-1,-49,-14,-14,-7,61,-7
HOLNLDM000532428253,OOSTERZICHT GALANT,2010,241,1,940411,CO60,2024HC,90,-170,E,96,137,349,-10,4,14,97,97,96,97,E,0,54,77,61,61,1,-10,5,5,7,61,-2
HOLFRAM007261004177,EBA NORTON,2017,241,1,782529,KI34,2024HC,78,30,J,84,0,335,41,3,18,88,87,84,87,J,0,49,74,54,54,110,196,-92,-89,-78,54,-14
HOLFRAM005940755248,GOLDFIGER,2011,241,1,768321,IM53,2024HC,82,-107,J,84,0,-470,-18,-20,-22,89,88,84,87,J,0,49,74,55,55,-10,-32,-46,-45,-25,55,-21
HOLNLDM000933611975,KOEPON RUMOUR,2018,241,1,39951,KI39,2024HC,87,98,E,92,342,526,28,21,18,94,94,92,94,E,0,53,76,59,59,62,107,-11,-11,-22,59,11
HOLNLDM000473734596,DELTA REWARD,2007,241,1,978317,CO60,2024HC,90,-177,E,96,171,243,-37,-6,15,97,97,96,97,E,0,51,76,60,60,-9,-116,45,44,51,60,-6
HOLDEUM000542183163,WIL MONTAGUE,2022,241,1,785044,IM74,2024HC,68,210,G,74,0,1418,39,34,69,81,79,74,74,G,0,47,72,50,50,174,156,21,20,7,50,14
HOLDEUM000363384356,WEH SINO P,2021,241,1,784386,IM74,2024HC,69,285,G,75,0,1191,45,43,64,82,80,75,75,G,0,47,72,50,50,43,161,33,32,13,50,20
HOLNLDM000443771789,GROENHILDE LODGER,2005,241,1,977683,CO60,2024HC,90,-88,E,96,150,-2,-39,-15,4,97,97,96,97,E,0,55,77,61,61,-13,-86,-8,-8,13,61,-21
HOLNLDM000533833009,HOANSTER RENATE,2009,241,1,82591,,2024HC,85,-155,E,90,24,21,-22,-5,-6,92,92,90,92,E,0,60,78,61,61,-48,-40,-16,-16,-6,61,-10
HOLNLDM000423995701,IJSSELVLIEDT JOPLIN,2005,241,1,977382,CO60,2024HC,90,-204,E,96,169,229,-40,-17,2,97,97,96,97,E,0,51,76,60,60,-9,-156,56,54,64,60,-8
